date,GOLD
2000-08-31,278.29998779296875
2000-09-30,273.6000061035156
2000-10-31,264.8999938964844
2000-11-30,270.1000061035156
2000-12-31,272.0
2001-01-31,265.6000061035156
2001-02-28,266.79998779296875
2001-03-31,257.8999938964844
2001-04-30,264.0
2001-05-31,265.29998779296875
2001-06-30,270.6000061035156
2001-07-31,266.20001220703125
2001-08-31,274.3999938964844
2001-09-30,292.3999938964844
2001-10-31,279.5
2001-11-30,273.8999938964844
2001-12-31,278.70001220703125
2002-01-31,282.1000061035156
2002-02-28,296.70001220703125
2002-03-31,302.6000061035156
2002-04-30,308.8999938964844
2002-05-31,326.5
2002-06-30,313.5
2002-07-31,303.20001220703125
2002-08-31,312.3999938964844
2002-09-30,323.8999938964844
2002-10-31,318.0
2002-11-30,316.79998779296875
2002-12-31,347.6000061035156
2003-01-31,368.29998779296875
2003-02-28,350.20001220703125
2003-03-31,335.8999938964844
2003-04-30,339.1000061035156
2003-05-31,364.5
2003-06-30,346.0
2003-07-31,354.0
2003-08-31,375.70001220703125
2003-09-30,385.3999938964844
2003-10-31,384.5
2003-11-30,396.79998779296875
2003-12-31,415.70001220703125
2004-01-31,402.20001220703125
2004-02-29,396.3999938964844
2004-03-31,427.29998779296875
2004-04-30,387.0
2004-05-31,394.0
2004-06-30,392.6000061035156
2004-07-31,391.0
2004-08-31,410.3999938964844
2004-09-30,418.70001220703125
2004-10-31,428.5
2004-11-30,451.29998779296875
2004-12-31,437.5
2005-01-31,421.79998779296875
2005-02-28,436.5
2005-03-31,428.70001220703125
2005-04-30,435.0
2005-05-31,416.29998779296875
2005-06-30,435.8999938964844
2005-07-31,429.8999938964844
2005-08-31,433.79998779296875
2005-09-30,469.0
2005-10-31,465.1000061035156
2005-11-30,494.6000061035156
2005-12-31,517.0999755859375
2006-01-31,570.7999877929688
2006-02-28,561.5999755859375
2006-03-31,581.7999877929688
2006-04-30,651.7999877929688
2006-05-31,642.5
2006-06-30,613.5
2006-07-31,634.2000122070312
2006-08-31,625.9000244140625
2006-09-30,598.5999755859375
2006-10-31,604.0999755859375
2006-11-30,646.9000244140625
2006-12-31,635.2000122070312
2007-01-31,652.0
2007-02-28,669.4000244140625
2007-03-31,663.0
2007-04-30,680.5
2007-05-31,661.0
2007-06-30,648.0999755859375
2007-07-31,666.9000244140625
2007-08-31,673.0
2007-09-30,742.7999877929688
2007-10-31,792.0
2007-11-30,782.2000122070312
2007-12-31,834.9000244140625
2008-01-31,922.7000122070312
2008-02-29,972.0999755859375
2008-03-31,916.2000122070312
2008-04-30,862.7999877929688
2008-05-31,887.2999877929688
2008-06-30,926.2000122070312
2008-07-31,913.9000244140625
2008-08-31,829.2999877929688
2008-09-30,874.2000122070312
2008-10-31,716.7999877929688
2008-11-30,816.2000122070312
2008-12-31,883.5999755859375
2009-01-31,927.2999877929688
2009-02-28,941.5
2009-03-31,922.5999755859375
2009-04-30,890.7000122070312
2009-05-31,978.7999877929688
2009-06-30,927.0999755859375
2009-07-31,953.7000122070312
2009-08-31,951.7000122070312
2009-09-30,1008.0
2009-10-31,1039.699951171875
2009-11-30,1181.0999755859375
2009-12-31,1095.199951171875
2010-01-31,1083.0
2010-02-28,1118.300048828125
2010-03-31,1113.300048828125
2010-04-30,1180.0999755859375
2010-05-31,1212.199951171875
2010-06-30,1245.5
2010-07-31,1181.699951171875
2010-08-31,1248.300048828125
2010-09-30,1307.800048828125
2010-10-31,1357.0999755859375
2010-11-30,1385.0
2010-12-31,1421.0999755859375
2011-01-31,1333.800048828125
2011-02-28,1409.300048828125
2011-03-31,1438.9000244140625
2011-04-30,1556.0
2011-05-31,1535.9000244140625
2011-06-30,1502.300048828125
2011-07-31,1628.300048828125
2011-08-31,1828.5
2011-09-30,1620.4000244140625
2011-10-31,1724.199951171875
2011-11-30,1745.5
2011-12-31,1565.800048828125
2012-01-31,1737.800048828125
2012-02-29,1709.9000244140625
2012-03-31,1669.300048828125
2012-04-30,1663.4000244140625
2012-05-31,1562.5999755859375
2012-06-30,1603.5
2012-07-31,1610.5
2012-08-31,1684.5999755859375
2012-09-30,1771.0999755859375
2012-10-31,1717.5
2012-11-30,1710.9000244140625
2012-12-31,1674.800048828125
2013-01-31,1660.5999755859375
2013-02-28,1577.699951171875
2013-03-31,1594.800048828125
2013-04-30,1472.199951171875
2013-05-31,1392.5999755859375
2013-06-30,1223.800048828125
2013-07-31,1312.4000244140625
2013-08-31,1396.0999755859375
2013-09-30,1326.5
2013-10-31,1323.5999755859375
2013-11-30,1250.5999755859375
2013-12-31,1201.9000244140625
2014-01-31,1240.0999755859375
2014-02-28,1321.4000244140625
2014-03-31,1283.4000244140625
2014-04-30,1295.5999755859375
2014-05-31,1245.5999755859375
2014-06-30,1321.800048828125
2014-07-31,1281.300048828125
2014-08-31,1285.800048828125
2014-09-30,1210.5
2014-10-31,1171.0999755859375
2014-11-30,1175.199951171875
